day,entry_px,exit_px,shares,ret_bp,pnl,qty,reason_out
2017-03-23,134.03,133.97,89.5,-4.5,-5.37,1,open
2017-03-24,134.78,134.91,89.0,9.6,11.57,1,open
2017-03-28,134.78,134.25,89.0,-39.3,-47.19,1,open
2017-03-29,135.81,135.66,88.4,-10.3,-12.37,1,open
2017-03-30,136.31,136.28,88.0,-2.2,-2.64,1,open
2017-03-31,137.32,137.38,87.4,4.4,5.24,1,open
2017-04-04,136.09,135.88,88.2,-16.2,-19.4,1,open
2017-04-05,135.92,136.8,88.3,64.0,76.81,1,open
2017-04-06,134.35,134.49,89.3,9.7,11.61,1,open
2017-04-07,135.59,135.16,88.5,-31.0,-37.17,1,open
2017-04-11,135.84,135.24,88.3,-44.9,-53.88,1,open
2017-04-12,136.95,136.63,87.6,-23.4,-28.04,1,open
2017-04-13,135.12,134.84,88.8,-20.7,-24.87,1,open
2017-04-17,133.72,134.03,89.7,23.9,28.72,1,open
2017-04-18,135.29,134.69,88.7,-45.1,-54.1,1,open
2017-04-19,135.35,135.69,88.7,25.1,30.14,1,open
2017-04-20,135.88,136.3,88.3,30.9,37.09,1,open
2017-04-21,137.56,137.22,87.2,-24.7,-29.66,1,open
2017-04-25,138.97,140.21,86.4,89.2,107.08,1,open
2017-04-26,140.28,140.13,85.5,-10.0,-11.98,1,open
2017-04-27,141.03,141.34,85.1,22.0,26.38,1,open
2017-04-28,140.98,140.96,85.1,-2.1,-2.55,1,open
2017-05-02,139.88,139.94,85.8,4.3,5.15,1,open
2017-05-03,139.17,138.46,86.2,-51.7,-62.08,1,open
2017-05-04,138.38,138.5,86.7,8.7,10.41,1,open
2017-05-05,138.12,138.66,86.9,38.4,46.05,1,open
2017-05-09,138.42,138.56,86.7,9.4,11.27,1,open
2017-05-10,138.4,138.0,86.7,-28.2,-33.82,1,open
2017-05-11,139.23,138.62,86.2,-43.8,-52.57,1,open
2017-05-12,138.29,137.71,86.8,-42.7,-51.19,1,open
2017-05-16,138.59,138.93,86.6,24.5,29.44,1,open
2017-05-17,138.69,136.3,86.5,-173.0,-207.65,1,open
2017-05-18,134.94,134.53,88.9,-29.6,-35.57,1,open
2017-05-19,135.38,135.6,88.6,17.0,20.39,1,open
2017-05-23,137.0,137.25,87.6,18.2,21.9,1,open
2017-05-24,137.44,137.47,87.3,2.2,2.62,1,open
2017-05-25,137.53,138.12,87.3,42.2,50.61,1,open
2017-05-26,137.63,137.34,87.2,-21.1,-25.28,1,open
2017-05-31,136.5,136.78,87.9,21.2,25.5,1,open
2017-06-01,136.38,136.68,88.0,21.3,25.52,1,open
2017-06-02,139.01,139.41,86.3,28.8,34.53,1,open
2017-06-06,139.03,138.06,86.3,-69.1,-82.86,1,open
2017-06-07,138.88,138.84,86.4,-3.6,-4.32,1,open
2017-06-08,139.03,138.94,86.3,-6.5,-7.77,1,open
2017-06-09,140.9,141.41,85.2,36.2,43.44,1,open
2017-06-13,141.41,141.77,84.9,25.5,30.55,1,open
2017-06-14,142.12,141.99,84.4,-9.9,-11.82,1,open
2017-06-15,141.29,139.66,84.9,-115.4,-138.43,1,open
2017-06-16,140.59,140.0,85.4,-42.0,-50.36,1,open
2017-06-20,141.25,140.84,85.0,-29.0,-34.83,1,open
2017-06-21,139.81,140.02,85.8,14.3,17.17,1,open
2017-06-22,139.47,139.34,86.0,-9.3,-11.19,1,open
2017-06-23,140.0,140.1,85.7,7.1,8.57,1,open
2017-06-27,141.12,141.08,85.0,-2.8,-3.4,1,open
2017-06-28,139.88,140.63,85.8,54.3,65.2,1,open
2017-06-29,142.04,142.19,84.5,10.6,12.67,1,open
2017-06-30,141.19,141.22,85.0,2.1,2.55,1,open
2017-07-05,142.01,141.66,84.5,-24.6,-29.57,1,open
2017-07-06,141.65,139.9,84.7,-123.5,-148.26,1,open
2017-07-07,139.16,139.4,86.2,16.5,19.83,1,open
2017-07-11,139.91,139.74,85.8,-12.2,-14.58,1,open
2017-07-12,140.32,141.02,85.5,49.2,59.01,1,open
2017-07-13,141.41,141.19,84.9,-14.9,-17.82,1,open
2017-07-14,141.53,141.06,84.8,-33.2,-39.85,1,open
2017-07-18,142.12,141.5,84.4,-42.9,-51.51,1,open
2017-07-19,141.72,141.84,84.7,9.2,11.01,1,open
2017-07-20,143.16,143.08,83.8,-6.3,-7.54,1,open
2017-07-21,143.22,142.97,83.8,-17.5,-20.95,1,open
2017-07-25,142.78,143.56,84.0,54.6,65.55,1,open
2017-07-26,144.07,144.1,83.3,2.1,2.5,1,open
2017-07-27,143.29,143.44,83.7,10.5,12.56,1,open
2017-07-28,142.38,142.0,84.3,-27.4,-32.87,1,open
2017-08-01,141.53,142.13,84.8,42.4,50.87,1,open
2017-08-02,141.84,141.55,84.6,-20.4,-24.54,1,open
2017-08-03,140.29,140.38,85.5,6.4,7.7,1,open
2017-08-04,139.59,139.88,86.0,20.8,24.93,1,open
2017-08-08,140.5,140.38,85.4,-9.3,-11.1,1,open
2017-08-09,140.06,139.09,85.7,-69.3,-83.11,1,open
2017-08-10,138.84,138.25,86.4,-43.2,-51.86,1,open
2017-08-11,136.34,136.18,88.0,-12.5,-14.96,1,open
2017-08-15,138.56,138.77,86.6,14.4,17.32,1,open
2017-08-16,137.44,137.63,87.3,13.8,16.59,1,open
2017-08-17,137.48,136.94,87.3,-39.3,-47.13,1,open
2017-08-18,134.97,134.44,88.9,-39.3,-47.12,1,open
2017-08-22,134.88,135.22,89.0,25.2,30.25,1,open
2017-08-23,136.32,135.5,88.0,-60.9,-73.06,1,open
2017-08-24,136.09,136.6,88.2,38.2,45.85,1,open
2017-08-25,136.53,136.84,87.9,22.7,27.25,1,open
2017-08-29,137.51,136.46,87.3,-77.1,-92.5,1,open
2017-08-30,137.56,137.34,87.2,-16.0,-19.19,1,open
