,ONA,ONB,combined
2021-08-27,15.8,26.77,42.57
2021-08-30,0.0,0.0,0.0
2021-08-31,-16.5,-25.33,-41.83
2021-09-01,44.61,22.1,66.71000000000001
2021-09-02,42.73,74.15,116.88
2021-09-03,-44.01,-86.19,-130.2
2021-09-07,0.0,0.0,0.0
2021-09-08,-46.11,-45.15,-91.25999999999999
2021-09-09,-23.58,-15.74,-39.32
2021-09-10,64.31,121.79,186.10000000000002
2021-09-13,0.0,0.0,0.0
2021-09-14,41.99,68.47,110.46000000000001
2021-09-15,-9.81,-8.63,-18.44
2021-09-16,-12.96,-1.32,-14.280000000000001
2021-09-17,-34.02,-92.48,-126.5
2021-09-20,0.0,0.0,0.0
2021-09-21,86.2,126.68,212.88
2021-09-22,68.38,134.28,202.66
2021-09-23,69.54,151.08,220.62
2021-09-24,-104.07,-72.79,-176.86
2021-09-27,0.0,0.0,0.0
2021-09-28,-54.05,-87.74,-141.79
2021-09-29,50.43,59.68,110.11
2021-09-30,65.74,79.6,145.33999999999997
2021-10-01,68.57,112.86,181.43
2021-10-04,0.0,0.0,0.0
2021-10-05,35.96,73.73,109.69
2021-10-06,-127.02,-182.3,-309.32
2021-10-07,87.31,176.41,263.72
2021-10-08,-1.07,14.55,13.48
2021-10-11,0.0,0.0,0.0
2021-10-12,25.6,31.33,56.93
2021-10-13,15.16,7.35,22.509999999999998
2021-10-14,114.29,220.0,334.29
2021-10-15,112.13,162.71,274.84000000000003
2021-10-18,0.0,0.0,0.0
2021-10-19,44.25,75.04,119.29
2021-10-20,2.12,-3.89,-1.77
2021-10-21,-11.61,-46.51,-58.12
2021-10-22,-11.05,-1.29,-12.34
2021-10-25,0.0,0.0,0.0
2021-10-26,18.81,61.11,79.92
2021-10-27,-41.59,32.81,-8.780000000000001
2021-10-28,62.25,45.35,107.6
2021-10-29,-16.84,-45.06,-61.900000000000006
2021-11-01,0.0,0.0,0.0
2021-11-02,18.46,14.73,33.19
2021-11-03,-20.47,-45.92,-66.39
2021-11-04,39.72,-17.82,21.9
2021-11-05,130.29,98.01,228.3
2021-11-08,0.0,0.0,0.0
2021-11-09,-33.63,-15.78,-49.410000000000004
2021-11-10,-57.22,-53.81,-111.03
2021-11-11,43.98,4.46,48.44
2021-11-12,30.09,74.21,104.3
2021-11-15,0.0,0.0,0.0
2021-11-16,-42.75,32.47,-10.280000000000001
2021-11-17,-49.71,-32.41,-82.12
2021-11-18,48.84,5.11,53.95
2021-11-19,-85.31,-102.39,-187.7
2021-11-22,0.0,0.0,0.0
2021-11-23,-21.23,-1.29,-22.52
2021-11-24,-104.76,-131.67,-236.43
2021-11-26,-346.11,-497.85,-843.96
2021-11-29,0.0,0.0,0.0
2021-11-30,-113.68,-173.49,-287.17
2021-12-01,268.31,207.43,475.74
2021-12-02,57.38,88.5,145.88
2021-12-03,52.53,56.35,108.88
2021-12-06,0.0,0.0,0.0
2021-12-07,166.53,198.81,365.34000000000003
2021-12-08,25.7,23.79,49.489999999999995
2021-12-09,-93.59,-83.51,-177.10000000000002
2021-12-10,87.05,91.2,178.25
2021-12-13,0.0,0.0,0.0
2021-12-14,-89.94,-88.24,-178.18
2021-12-15,-5.04,-21.31,-26.349999999999998
2021-12-16,86.25,88.2,174.45
2021-12-17,-58.54,-200.91,-259.45
2021-12-20,0.0,0.0,0.0
2021-12-21,115.4,189.65,305.05
2021-12-22,-18.7,0.0,-18.7
2021-12-23,35.4,59.2,94.6
2021-12-27,11.35,40.96,52.31
2021-12-28,-24.62,5.7,-18.92
2021-12-29,-7.0,-7.58,-14.58
2021-12-30,-6.46,50.43,43.97
2021-12-31,-25.3,-33.49,-58.790000000000006
2022-01-03,0.0,0.0,0.0
2022-01-04,31.41,94.32,125.72999999999999
2022-01-05,-10.13,-15.63,-25.76
2022-01-06,19.32,-3.16,16.16
2022-01-07,-4.66,-34.27,-38.93000000000001
2022-01-10,0.0,0.0,0.0
2022-01-11,6.13,-8.92,-2.79
2022-01-12,47.97,69.14,117.11
2022-01-13,45.57,75.4,120.97
2022-01-14,-117.73,-193.57,-311.3
2022-01-18,0.0,0.0,0.0
2022-01-19,54.85,61.74,116.59
2022-01-20,45.76,68.26,114.02000000000001
2022-01-21,-63.35,-17.88,-81.23
2022-01-24,0.0,0.0,0.0
2022-01-25,-204.47,-234.86,-439.33000000000004
2022-01-26,171.34,201.84,373.18
2022-01-27,99.78,191.94,291.72
2022-01-28,11.91,20.2,32.11
2022-01-31,0.0,0.0,0.0
2022-02-01,29.23,41.28,70.51
2022-02-02,15.94,-13.0,2.9399999999999995
2022-02-03,-150.78,-80.75,-231.53
2022-02-04,-29.77,-43.25,-73.02
2022-02-07,0.0,0.0,0.0
2022-02-08,-4.81,45.88,41.07
2022-02-09,104.15,179.69,283.84000000000003
2022-02-10,-220.65,-189.05,-409.70000000000005
