day,side,notional,entry_ts,entry_s,exit_ts,exit_s,pnl,reason_out,costs,qty
2022-10-04,1,60000,2022-10-04 12:30:00-05:00,-0.00338,2022-10-04 14:52:00-05:00,-0.00341,-17.09,flatten,22.52,1
2022-10-05,1,60000,2022-10-05 09:30:00-05:00,-0.00333,2022-10-05 11:30:00-05:00,-0.00026,183.96,reverted,22.8,1
2022-10-06,-1,60000,2022-10-06 13:00:00-05:00,0.00362,2022-10-06 14:52:00-05:00,0.00224,98.22,flatten,22.47,1
2022-10-07,1,60000,2022-10-07 10:30:00-05:00,-0.00313,2022-10-07 13:00:00-05:00,-0.00522,-112.44,stop,23.15,1
2022-10-10,1,60000,2022-10-10 10:00:00-05:00,-0.00394,2022-10-10 13:00:00-05:00,7e-05,243.27,reverted,23.58,1
2022-10-11,1,60000,2022-10-11 09:30:00-05:00,-0.00425,2022-10-11 14:30:00-05:00,-0.00661,-146.61,stop,23.83,1
2022-10-13,-1,60000,2022-10-13 10:30:00-05:00,0.00623,2022-10-13 14:52:00-05:00,0.00502,36.36,flatten,23.59,1
2022-10-14,1,60000,2022-10-14 09:30:00-05:00,-0.00564,2022-10-14 14:30:00-05:00,-0.00864,-165.95,stop,23.53,1
2022-10-18,1,60000,2022-10-18 09:30:00-05:00,-0.00419,2022-10-18 10:30:00-05:00,-0.00712,-170.88,stop,22.87,1
2022-10-19,-1,60000,2022-10-19 09:30:00-05:00,0.00579,2022-10-19 14:52:00-05:00,0.00358,206.19,flatten,22.87,1
2022-10-20,-1,60000,2022-10-20 09:30:00-05:00,0.00663,2022-10-20 14:52:00-05:00,0.00496,138.68,flatten,22.82,1
2022-10-24,1,60000,2022-10-24 09:30:00-05:00,-0.00632,2022-10-24 10:30:00-05:00,-0.00145,299.47,reverted,22.77,1
2022-10-27,1,60000,2022-10-27 10:00:00-05:00,-0.00493,2022-10-27 14:52:00-05:00,-0.00623,-56.99,flatten,22.43,1
2022-10-28,-1,60000,2022-10-28 10:00:00-05:00,0.00651,2022-10-28 14:52:00-05:00,0.00881,-152.93,flatten,22.19,1
2022-10-31,1,60000,2022-10-31 09:30:00-05:00,-0.00647,2022-10-31 14:52:00-05:00,-0.003,166.35,flatten,22.24,1
2022-11-01,1,55731,2022-11-01 11:30:00-05:00,-0.00727,2022-11-01 14:52:00-05:00,-0.00871,-92.92,flatten,20.74,1
2022-11-03,1,49249,2022-11-03 12:30:00-05:00,-0.0061,2022-11-03 14:52:00-05:00,-0.00839,-88.81,flatten,19.02,1
2022-11-11,-1,60000,2022-11-11 09:30:00-06:00,0.00751,2022-11-11 13:00:00-06:00,0.01206,-273.56,stop,21.58,1
2022-11-16,1,60000,2022-11-16 09:30:00-06:00,-0.00485,2022-11-16 12:30:00-06:00,-0.00127,214.72,reverted,21.61,1
2022-11-17,-1,60000,2022-11-17 09:30:00-06:00,0.00553,2022-11-17 14:52:00-06:00,0.00402,71.93,flatten,21.82,1
2022-11-18,1,60000,2022-11-18 09:30:00-06:00,-0.0046,2022-11-18 14:52:00-06:00,-0.00673,-118.26,flatten,21.66,1
2022-11-23,-1,60000,2022-11-23 10:00:00-06:00,0.00438,2022-11-23 11:00:00-06:00,0.00113,191.63,reverted,21.32,1
2022-11-29,1,60000,2022-11-29 10:30:00-06:00,-0.00538,2022-11-29 14:52:00-06:00,-0.0065,-94.85,flatten,21.87,1
2022-11-30,-1,60000,2022-11-30 09:30:00-06:00,0.00506,2022-11-30 13:30:00-06:00,0.01309,-495.77,stop,21.8,1
